titles,views_title,imdb_rating
Maximum Homerdrive,54195,7.6
"Hello Gutter, Hello Fadder",44615,7.3
Simpsons Bible Stories,47155,7.3
Tennis the Menace,51004,6.9
Viva Ned Flanders,56561,7.8
Treehouse of Horror X,47980,7.7
Last Tap Dance in Springfield,47061,7.2
Brother's Little Helper,44172,7.5
"The Old Man and the ""C"" Student",47550,7.3
Bart to the Future,75315,7
Beyond Blunderdome,34394,7.3
They Saved Lisa's Brain,47951,7.3
Homer to the Max,55726,7.7
"Take My Wife, Sleaze",41484,7.1
Little Big Mom,48194,7.3
Faith Off,43869,6.9
Worst Episode Ever,49893,7.5
Saddlesore Galactica,41259,6.6
Behind the Laughter,74046,7.9
The Great Money Caper,49325,7.3
Missionary: Impossible,50427,7.3
Days of Wine and D'oh'ses,48786,7.4
Bart on the Road,70913,8.6
"Bye, Bye, Nerdie",45718,6.5
I'm Goin' to Praiseland,49321,7.3
Simpsons Tall Tales,56698,7
I Am Furious (Yellow),69650,7.7
The Sweetest Apu,47193,6.9
The President Wore Pearls,37456,7
The Parent Rap,47251,7.1
Weekend at Burnsie's,54539,7.7
Large Marge,55369,7.1
The Bart Wants What It Wants,45176,7.1
Mr. Spritz Goes to Washington,44837,6.9
A Hunka Hunka Burns in Love,37376,7.2
How I Spent My Strummer Vacation,35578,7.3
She of Little Faith,45824,7.1
Helter Shelter,42907,6.8
Tales from the Public Domain,50301,7.3
The Strong Arms of the Ma,51877,6.9
Brawl in the Family,45684,6.9
Jaws Wired Shut,49429,7.3
Little Girl in the Big Ten,46466,7.2
Old Yeller-Belly,43223,6.8
Special Edna,40867,7.1
Barting Over,47276,6.6
"Dude, Where's My Ranch?",49000,7
The Bart of War,50464,6.6
Treehouse of Horror XIV,68381,7.4
Mountain of Madness,60763,8.6
Today I Am a Clown,37890,6.6
"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",50276,6.7
Diatribe of a Mad Housewife,45062,7.3
All's Fair in Oven War,41064,7
Bart-Mangled Banner,56275,6.2
A Star Is Torn,44500,6.8
See Homer Run,40306,6.9
Milhouse Doesn't Live Here Anymore,46792,7.3
The Ziff Who Came to Dinner,43747,6.9
Homer and Ned's Hail Mary Pass,43356,6.4
The Girl Who Slept Too Little,35717,6.9
The Wandering Juvie,44539,6.9
Milhouse of Sand and Fog,35779,7
Treehouse of Horror XVI,74401,7.3
Homer's Paternity Coot,39552,6.7
She Used to Be My Girl,38908,6.6
My Big Fat Geek Wedding,42440,6.7
Future-Drama,53146,7.3
The Italian Bob,45513,7
Simple Simpson,46273,7.3
We're on the Road to D'ohwhere,43599,7
On a Clear Day I Can't See My Sister,46309,6.9
Home Away from Homer,44606,7.1
Treehouse of Horror XV,72271,7.4
Midnight Rx,43118,7.3
Pranksta Rap,42759,6.8
Dumbbell Indemnity,21214,7.6
Girls Just Want to Have Sums,45267,7.2
The Monkey Suit,48419,7.1
The Boys of Bummer,44770,6.3
Treehouse of Horror XVIII,69957,7.1
Rome-Old and Juli-Eh,41751,6.3
Papa Don't Leech,39238,6.1
Marge and Homer Turn a Couple Play,42778,6.6
The Wife Aquatic,41312,6.6
"Double, Double, Boy in Trouble",45781,7
Treehouse of Horror XVII,68799,7.1
That '90s Show,43485,6.3
The Burns and the Bees,38247,6.6
Moe'N'a Lisa,37177,6.8
The Haw-Hawed Couple,41161,7.2
Husbands and Knives,44445,7.1
All About Lisa,44616,6.4
You Kent Always Say What You Want,45281,7.3
Dangerous Curves,40078,6.6
Springfield Up,45036,7.3
Revenge Is a Dish Best Served Three Times,67621,7
Marge Gamer,47107,7.3
Stop! Or My Dog Will Shoot,42892,7
Dial 'N' for Nerder,41658,7.3
"Love, Springfieldian Style",40507,6.6
MyPods and Boomsticks,40353,7.1
"Sex, Pies and Idiot Scrapes",45735,7.2
Any Given Sundance,41440,7
Bart the Mother,43240,7.5
"Take My Life, Please",40679,7
"No Loan Again, Naturally",41165,7
Elementary School Musical,31638,6.3
"Waverly Hills, 9-0-2-1-D'oh",45032,7.1
The Bob Next Door,43446,7.2
"The Good, the Sad and the Drugly",45179,7.2
Once Upon a Time in Springfield,40194,6.7
Bart Gets a 'Z',38196,6.6
Eeny Teeny Maya Moe,40864,7.2
Chief of Hearts,41528,6.9
The Great Wife Hope,39134,6.3
To Surveil with Love,45738,7.2
The Scorpion's Tale,42142,6.7
The Blue and the Gray,42028,6.9
The Color Yellow,41059,6.6
The Fool Monty,38097,6.5
"O Brother, Where Bart Thou?",38097,7.2
Boy Meets Curl,44945,6.8
Love Is a Many Strangled Thing,41202,6.5
The Devil Wears Nada,42893,6.7
Homer Scissorhands,46154,7.2
Stealing First Base,40487,7
How Munched is That Birdie in the Window?,37568,6.4
The Real Housewives of Fat Tony,41638,6.6
Moms I'd Like to Forget,41253,6.3
MoneyBart,39073,6.8
Flaming Moe,42734,6.9
I'm with Cupid,46822,7.3
Bart Stops to Smell the Roosevelts,37642,7
Replaceable You,38034,6.7
The D'oh-cial Network,43275,7
Married to the Blob,40646,7.1
Ned 'n Edna's Blend,47005,6.7
Gone Abie Gone,35136,6.7
Homer Goes to Prep School,42306,6.9
Four Regrettings and a Funeral,39301,6.5
Yellow Subterfuge,43717,7
A Totally Fun Thing That Bart Will Never Do Again,53058,7.4
The Book Job,42780,7.8
The Daughter Also Rises,40669,6.5
Steal This Episode,45354,7.6
Exit Through the Kwik-E-Mart,45133,6.9
"Black Eyed, Please",42925,7
"Them, Robot",43615,7.1
Treehouse of Horror XXIV,64758,7.1
Pulpit Friction,41184,6.5
The Changing of the Guardian,42215,6.6
Moonshine River,36570,6.4
A Tree Grows in Springfield,43211,6.5
Treehouse of Horror XXIII,67484,7.3
The Day the Earth Stood Cool,40649,7.2
Hardly Kirk-ing,42807,7
The Fabulous Faker Boy,42426,6.3
Labor Pains,40671,7.1
Dangers on a Train,44984,7
"Marge Simpson in: ""Screaming Yellow Honkers""",52778,7.3
The Winter of His Content,44271,6.6
What to Expect When Bart's Expecting,48760,5.8
Covercraft,38432,6.5
Walking Big & Tall,36221,6.3
Treehouse of Horror XXVI,195,6.8
The Girl Code,166,6.6
Pay Pal,51132,6.7
Every Man's Dream,187,5.9
Let's Go Fly a Coot,40783,6.2
Waiting for Duffman,37874,6.7
Lisa with an 'S',145,6.3
Bart's New Friend,39702,7.3
Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,158,6.3
The Kids Are All Fight,42123,6.9
Sky Police,43023,6.9
Clown in the Dumps,29526,5.8
Super Franchise Me,42912,6.5
Much Apu About Something,170,6.7
I Won't Be Home for Christmas,37064,6.8
Treehouse of Horror XXV,65425,7.3
My Fare Lady,35846,6.7
The Burns Cage,190,6.5
