id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
422,Lost Verizon,10/5/08,KABF15,20,2,422,7.43,38186,6.9
424,Treehouse of Horror XIX,11/2/08,KABF16,20,4,424,12.48,21509,7.1
77,So It's Come to This: A Simpsons Clip Show,4/1/93,9F17,4,18,77,25.5,49139,7.2
433,Gone Maggie Gone,3/15/09,LABF04,20,13,433,5.99,43663,7.2
438,Father Knows Worst,4/26/09,LABF08,20,18,438,5.94,42390,7
440,Four Great Women and a Manicure,5/10/09,LABF09,20,20,440,5.16,44718,6.3
442,Homer the Whopper,9/27/09,LABF13,21,1,442,8.31,39936,7.1
448,Rednecks and Broomsticks,11/29/09,LABF19,21,7,448,9.02,37909,6.8
450,Thursdays with Abie,1/3/10,MABF02,21,9,450,8.65,36227,6.8
452,Million Dollar Maybe,1/31/10,MABF03,21,11,452,5.11,40854,7.1
455,Postcards from the Wedge,3/14/10,MABF04,21,14,455,5.23,41357,7.1
457,The Greatest Story Ever D'ohed,3/28/10,MABF10,21,16,457,5.69,44070,5.7
462,Moe Letter Blues,5/9/10,MABF13,21,21,462,5.66,40904,6.9
464,Judge Me Tender,5/23/10,MABF15,21,23,464,5.74,41830,6.6
466,Loan-a Lisa,10/3/10,MABF17,22,2,466,8.59,35051,6.8
469,"Lisa Simpson, This Isn't Your Life",11/14/10,MABF20,22,5,469,8.97,40637,7.2
472,The Fight Before Christmas,12/5/10,MABF22,22,8,472,9.54,43781,6.9
473,Donnie Fatso,12/12/10,MABF19,22,9,473,7.18,40276,7
476,Homer the Father,1/23/11,NABF05,22,12,476,6.5,42691,7
478,Angry Dad: The Movie,2/20/11,NABF07,22,14,478,6.35,42693,7.2
480,A Midsummer's Nice Dream,3/13/11,NABF09,22,16,480,5.44,38893,6.1
482,The Great Simpsina,4/10/11,NABF11,22,18,482,4.99,41560,7
485,500 Keys,5/15/11,NABF14,22,21,485,6,46660,7.3
487,The Falcon and the D'ohman,9/25/11,NABF16,23,1,487,8.08,39209,7.2
489,Treehouse of Horror XXII,10/30/11,NABF19,23,3,489,8.1,63816,6.6
491,The Food Wife,11/13/11,NABF20,23,5,491,7.5,42746,7.2
494,The Ten-Per-Cent Solution,12/4/11,PABF02,23,8,494,9.01,39002,6.2
496,"Politically Inept, with Homer Simpson",1/8/12,PABF03,23,10,496,5.07,44074,6.1
498,Moe Goes from Rags to Riches,1/29/12,PABF05,23,12,498,5.12,39838,5.7
447,Pranks and Greens,11/22/09,LABF18,21,6,447,7.03,,6.7
91,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",12/16/93,1F08,5,10,91,17.9,82216,8.5
504,Beware My Cheating Bart,4/15/12,PABF11,23,18,504,4.86,43422,7.1
506,The Spy Who Learned Me,5/6/12,PABF13,23,20,506,4.84,43544,6.9
508,Lisa Goes Gaga,5/20/12,PABF14,23,22,508,4.82,44434,4.5
513,Penny-Wiseguys,11/18/12,PABF19,24,5,513,5.06,36897,6.3
516,To Cur with Love,12/16/12,RABF01,24,8,516,3.77,40726,7.2
518,A Test Before Trying,1/13/13,RABF03,24,10,518,5.04,41542,7
520,Love is a Many-Splintered Thing,2/10/13,RABF07,24,12,520,4.19,41828,6.5
522,Gorgeous Grampa,3/3/13,RABF06,24,14,522,4.66,39510,6.2
525,What Animated Women Want,4/14/13,RABF08,24,17,525,4.11,43471,6.5
527,Whiskey Business,5/5/13,RABF13,24,19,527,4.43,42810,6.8
531,Homerland,9/29/13,RABF20,25,1,531,6.37,47531,7
534,YOLO,11/10/13,RABF22,25,4,534,4.2,44551,6.7
536,The Kid Is All Right,11/24/13,SABF02,25,6,536,6.78,39590,6.5
538,White Christmas Blues,12/15/13,SABF01,25,8,538,8.48,39290,6.5
541,Specs and the City,1/26/14,SABF06,25,11,541,3.87,44119,7.2
543,The Man Who Grew Too Much,3/9/14,SABF07,25,13,543,3.75,44512,6.7
545,The War of Art,3/23/14,SABF10,25,15,545,3.98,41726,7
547,Luca$,4/6/14,SABF12,25,17,547,4.3,45184,6.5
550,Brick Like Me,5/4/14,RABF21,25,20,550,4.39,65613,7.7
552,The Yellow Badge of Cowardge,5/18/14,SABF18,25,22,552,3.28,46408,6.7
554,The Wreck of the Relationship,10/5/14,SABF17,26,2,554,4.27,38411,6.9
557,Opposites A-Frack,11/2/14,SABF22,26,5,557,4.22,36410,6.3
559,Blazed and Confused,11/16/14,TABF01,26,7,559,6.7,43513,6.9
562,The Man Who Came to Be Dinner,1/4/15,RABF15,26,10,562,10.62,36622,6.8
